MicrosigaPN;OraclePN;PT Description;NCM;IPI;PIS;COFINS;Fator 18;Fator 12;Fator 7;Fator 4
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
